exp_id,row_index,source,smoothing_iters,decimate_target_reduction,seed,jnd_threshold,n_tri_nominal,status,out_points,out_cells,point_ratio,mean_abs_error,p95_abs_error,max_abs_error,frac_vertices_over_jnd,mean_nn_distance,p95_nn_distance,env_cpu,env_cpu_count_logical,env_ram_gb,env_os,env_python,env_numpy,env_scipy,env_trimesh,env_pyvista,env_opencv,env_torch,env_git_commit,env_torch_threads,env_cuda_available,env_gpu,env_vtk,env_run_started_utc
a4_color_transfer,12,icosphere,5,,0,8.0,40000,ok,20002,40000,1.0,0.5018,0.961,1.1909,0.0,0.000211,0.00044,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,13,icosphere,5,,1,8.0,40000,ok,20002,40000,1.0,0.5018,0.961,1.1909,0.0,0.000211,0.00044,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,14,icosphere,5,,2,8.0,40000,ok,20002,40000,1.0,0.5018,0.961,1.1909,0.0,0.000211,0.00044,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,15,icosphere,5,0.3,0,8.0,40000,ok,14002,28000,0.7,0.5011,0.9597,1.19,0.0,0.000196,0.000417,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,16,icosphere,5,0.3,1,8.0,40000,ok,14002,28000,0.7,0.5011,0.9597,1.19,0.0,0.000196,0.000417,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,17,icosphere,5,0.3,2,8.0,40000,ok,14002,28000,0.7,0.5011,0.9597,1.19,0.0,0.000196,0.000417,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,18,icosphere,5,0.5,0,8.0,40000,ok,10002,20000,0.5,0.5013,0.9606,1.19,0.0,0.000192,0.000421,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,19,icosphere,5,0.5,1,8.0,40000,ok,10002,20000,0.5,0.5013,0.9606,1.19,0.0,0.000192,0.000421,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,20,icosphere,5,0.5,2,8.0,40000,ok,10002,20000,0.5,0.5013,0.9606,1.19,0.0,0.000192,0.000421,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,21,icosphere,5,0.7,0,8.0,40000,ok,6002,12000,0.3001,0.5012,0.9593,1.19,0.0,0.000189,0.000425,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
