exp_id,row_index,configuration,n_tri,n_components_nominal,repeat,seed,stage,seconds,pct_of_stage_total,stage_peak_rss_mb,stage_rss_delta_mb,wall_total_seconds,stage_total_seconds,unaccounted_seconds,peak_rss_mb,env_cpu,env_cpu_count_logical,env_ram_gb,env_os,env_python,env_numpy,env_scipy,env_trimesh,env_pyvista,env_opencv,env_torch,env_git_commit,env_torch_threads,env_cuda_available,env_gpu,env_vtk,env_run_started_utc
a2_stage_profile,12,big_triangles,1000000,1,2,0,smooth,0.9148,12.11,2019.2,0.0,7.5743,7.5528,0.0215,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,13,big_triangles,1000000,1,2,0,finalize,4.0316,53.38,2019.2,0.0,7.5743,7.5528,0.0215,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,14,big_triangles,1000000,1,2,0,watertight_check,1.1859,15.7,2019.2,0.0,7.5743,7.5528,0.0215,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,15,big_triangles,1000000,1,3,0,component_filter,0.8796,12.32,2019.2,0.0,7.1601,7.1423,0.0178,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,16,big_triangles,1000000,1,3,0,fill_holes,0.4214,5.9,2019.2,0.0,7.1601,7.1423,0.0178,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,17,big_triangles,1000000,1,3,0,smooth,0.8905,12.47,2019.2,0.0,7.1601,7.1423,0.0178,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,18,big_triangles,1000000,1,3,0,finalize,3.865,54.11,2019.2,0.0,7.1601,7.1423,0.0178,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,19,big_triangles,1000000,1,3,0,watertight_check,1.0858,15.2,2019.2,0.0,7.1601,7.1423,0.0178,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,20,big_triangles,1000000,1,4,0,component_filter,0.9671,12.59,2019.2,0.0,7.6962,7.6802,0.016,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,21,big_triangles,1000000,1,4,0,fill_holes,0.4415,5.75,2019.2,0.0,7.6962,7.6802,0.016,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,22,big_triangles,1000000,1,4,0,smooth,1.008,13.12,2019.2,0.0,7.6962,7.6802,0.016,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,23,big_triangles,1000000,1,4,0,finalize,4.0983,53.36,2019.2,0.0,7.6962,7.6802,0.016,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,24,big_triangles,1000000,1,4,0,watertight_check,1.1653,15.17,2019.2,0.0,7.6962,7.6802,0.016,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,25,many_components,96000,1000,0,0,component_filter,10.0092,95.89,2019.2,0.0,10.4493,10.4377,0.0116,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,26,many_components,96000,1000,0,0,fill_holes,0.0363,0.35,2019.2,0.0,10.4493,10.4377,0.0116,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,27,many_components,96000,1000,0,0,smooth,0.1418,1.36,2019.2,0.0,10.4493,10.4377,0.0116,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,28,many_components,96000,1000,0,0,finalize,0.168,1.61,2019.2,0.0,10.4493,10.4377,0.0116,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,29,many_components,96000,1000,0,0,watertight_check,0.0824,0.79,2019.2,0.0,10.4493,10.4377,0.0116,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,30,many_components,96000,1000,1,0,component_filter,9.8385,95.85,2019.2,0.0,10.269,10.2649,0.0041,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,31,many_components,96000,1000,1,0,fill_holes,0.0327,0.32,2019.2,0.0,10.269,10.2649,0.0041,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,32,many_components,96000,1000,1,0,smooth,0.1335,1.3,2019.2,0.0,10.269,10.2649,0.0041,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,33,many_components,96000,1000,1,0,finalize,0.1549,1.51,2019.2,0.0,10.269,10.2649,0.0041,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,34,many_components,96000,1000,1,0,watertight_check,0.1053,1.03,2019.2,0.0,10.269,10.2649,0.0041,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,35,many_components,96000,1000,2,0,component_filter,9.574,95.89,2019.2,0.0,9.9888,9.9847,0.0041,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,36,many_components,96000,1000,2,0,fill_holes,0.0267,0.27,2019.2,0.0,9.9888,9.9847,0.0041,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
