exp_id,row_index,part,base,mode,noise_sigma,n_holes,n_fragments_injected,seed,tau,distance_unit,sample_points,chamfer_noise_floor,smoothing_iters,components_in,in_cells,boundary_edges_in,non_manifold_edges_in,before_chamfer_l1,before_hausdorff_95,before_precision,before_recall,before_f_score,before_normal_consistency,holefill_guard_fires,filtered_components,status,out_cells,components_out,boundary_edges_out,non_manifold_edges_out,is_watertight_out,after_chamfer_l1,after_hausdorff_95,after_precision,after_recall,after_f_score,after_normal_consistency,chamfer_delta,chamfer_improved,normal_consistency_delta,fragments_removed,env_cpu,env_cpu_count_logical,env_ram_gb,env_os,env_python,env_numpy,env_scipy,env_trimesh,env_pyvista,env_opencv,env_torch,env_git_commit,env_torch_threads,env_cuda_available,env_gpu,env_vtk,env_run_started_utc,smoother,volume_ratio_vs_clean
a3_refine_quality,820,refinement,pointmap_sheet,object,0.01,0,5,2,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,6,20400,388,0,0.005532,0.015168,0.8117,0.9962,0.8945,0.5394,False,6,ok,20619,6,169,0,False,0.007159,0.010437,0.9437,0.9969,0.9695,0.71393,0.001627,False,0.17453,0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
a3_refine_quality,821,refinement,pointmap_sheet,room,0.01,0,5,2,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,6,20400,388,0,0.005532,0.015168,0.8117,0.9962,0.8945,0.5394,True,1,ok,20000,1,388,0,False,0.004625,0.014815,0.8195,0.9963,0.8993,0.53515,-0.000907,True,-0.00425,5,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
a3_refine_quality,822,refinement,pointmap_sheet,object,0.01,0,20,0,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,21,21600,388,0,0.007309,0.016844,0.7979,0.9989,0.8871,0.52939,False,21,ok,21812,21,176,0,False,0.015325,0.21958,0.8765,0.9989,0.9337,0.68742,0.008016,False,0.15803,0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
a3_refine_quality,823,refinement,pointmap_sheet,room,0.01,0,20,0,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,21,21600,388,0,0.007309,0.016844,0.7979,0.9989,0.8871,0.52939,True,1,ok,20000,1,388,0,False,0.004651,0.014903,0.8171,0.9989,0.8989,0.53542,-0.002658,True,0.00603,20,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
a3_refine_quality,824,refinement,pointmap_sheet,object,0.01,0,20,1,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,21,21600,388,0,0.007459,0.016922,0.8021,0.9992,0.8899,0.53085,False,21,ok,21858,21,130,0,False,0.015933,0.279952,0.8763,0.9978,0.9331,0.70413,0.008474,False,0.17328,0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
a3_refine_quality,825,refinement,pointmap_sheet,room,0.01,0,20,1,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,21,21600,388,0,0.007459,0.016922,0.8021,0.9992,0.8899,0.53085,True,1,ok,20000,1,388,0,False,0.004585,0.01482,0.8236,0.999,0.9029,0.53113,-0.002874,True,0.00028,20,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
a3_refine_quality,826,refinement,pointmap_sheet,object,0.01,0,20,2,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,21,21600,388,0,0.007318,0.016641,0.8006,0.9966,0.8879,0.53706,False,21,ok,21819,21,169,0,False,0.014541,0.298117,0.879,0.9969,0.9342,0.698,0.007223,False,0.16094,0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
a3_refine_quality,827,refinement,pointmap_sheet,room,0.01,0,20,2,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,21,21600,388,0,0.007318,0.016641,0.8006,0.9966,0.8879,0.53706,True,1,ok,20000,1,388,0,False,0.004625,0.014815,0.8195,0.9963,0.8993,0.53515,-0.002693,True,-0.00191,20,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
a3_refine_quality,828,refinement,pointmap_sheet,object,0.01,5,0,0,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,1,19900,458,0,0.004664,0.014996,0.816,0.9984,0.898,0.52936,True,1,ok,19900,1,458,0,False,0.003563,0.009417,0.9615,0.9983,0.9795,0.70109,-0.001101,True,0.17173,0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
a3_refine_quality,829,refinement,pointmap_sheet,room,0.01,5,0,0,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,1,19900,458,0,0.004664,0.014996,0.816,0.9984,0.898,0.52936,True,1,ok,19900,1,458,0,False,0.004654,0.015015,0.8174,0.9986,0.8989,0.52979,-1e-05,True,0.00043,0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
